おしらせ,お知らせ,notice
あんないしょ,案内書,guide book
カレンダー,,calendar
ポスター,,poster
ごみばこ,ごみ箱,"trash can, dustbin"
にんぎょう,人形,doll
かびん,花瓶,vase
かがみ,鏡,mirror
ひきだし,引き出し,drawer
げんかん,玄関,"front door, porch, entrance hall"
ろうか,廊下,"corridor, hallway"
かべ,壁,wall
いけ,池,pond
こうばん,交番,police box
もとのところ,元の所,original place
まわり,周り,"round, around"
まんなか,真ん中,center
すみ,隅,corner
まだ,,still
～ほど,,about~
よていひょう,予定表,schedule
きぼう,希望,"hope, request"
ちきゅう,地球,earth
うれしい,,"glad, happy"
いやな,嫌な,hatefulm disagreeable
すると,,"and, then"
うんどうします,運動します,take exercise
せいこうします,成功します,succeed
しっぱいします,失敗します,fail
ごうかくします,合格します,pass
もどるます,戻ります,return
やみます,,stop
はれます,晴れます,clear up
くもります,曇ります,get cloudy
ふきます,吹きます,blow
つづきます,続きます,continue
ひきます,,catch
ひやします,冷やします,cool
しんぱいな,心配な,"worried, anxious"
ぎゅうぶんな,十分な,"enough, sufficient"
おかしい,,"strange, funny"
うるさい,,noisy
やけど,,burning
けが,,injury
せき,,cough
インフルエンザ,,influenza
そら,空,sky
たいよう,太陽,sun
ほし,星,star
つき,月,moon
かぜ,風,wind
きた,北,north
みなみ,南,south
にし,西,west
ひがし,東,east
すいどう,水道,"faucet, tap, water supply"
エンジン,,engine
チーム,,team
こんや,今夜,this evening
ゆうがた,夕方,late afternoon
まえ,,"a time in the past, before"
おそく,遅く,late
こんなに,,like this
そんなに,,like that(related to listener)
あんなに,,"that much, like that(related to speaker/listener)"
もしかしたら,,"possibly, perhaps"
それはいけませんね,,That's too bad
げんき,元気,vigor
い,胃,stomach
はたらきすぎ,働きすぎ,working too much
ストレス,,stress
むりをします,無理をします,work more than one's capacity
ゆうくりします,,take time
ほしうらない,星占い,horoscope
おうしざ,牡牛座,Taurus
こまります,困ります,"be in trouble, have a problem"
たからくじ,宝くじ,lottery
あたります,当たります,win
けんこう,健康,health
れんあい,恋愛,romantic love
こいびと,恋人,"sweethear, boyfriend, girlfriend"
おかねもち,お金持ち,rich person
うんどうします,運動します,take exercise
せいこうします,成功します,succeed
しっぱいします,失敗します,fail
ごうかくします,合格します,pass
もどるます,戻ります,return
やみます,,stop
はれます,晴れます,clear up
くもります,曇ります,get cloudy
ふきます,吹きます,blow
つづきます,続きます,continue
ひきます,,catch
ひやします,冷やします,cool
しんぱいな,心配な,"worried, anxious"
ぎゅうぶんな,十分な,"enough, sufficient"
おかしい,,"strange, funny"
うるさい,,noisy
やけど,,burning
けが,,injury
せき,,cough
インフルエンザ,,influenza
そら,空,sky
たいよう,太陽,sun
ほし,星,star
つき,月,moon
かぜ,風,wind
きた,北,north
みなみ,南,south
にし,西,west
ひがし,東,east
すいどう,水道,"faucet, tap, water supply"
エンジン,,engine
チーム,,team
こんや,今夜,this evening
ゆうがた,夕方,late afternoon
まえ,,"a time in the past, before"
おそく,遅く,late
こんなに,,like this
そんなに,,like that(related to listener)
あんなに,,"that much, like that(related to speaker/listener)"
もしかしたら,,"possibly, perhaps"
それはいけませんね,,That's too bad
げんき,元気,vigor
い,胃,stomach
はたらきすぎ,働きすぎ,working too much
ストレス,,stress
むりをします,無理をします,work more than one's capacity
ゆうくりします,,take time
ほしうらない,星占い,horoscope
おうしざ,牡牛座,Taurus
こまります,困ります,"be in trouble, have a problem"
たからくじ,宝くじ,lottery
あたります,当たります,win
けんこう,健康,health
れんあい,恋愛,romantic love
こいびと,恋人,"sweethear, boyfriend, girlfriend"
おかねもち,お金持ち,rich person
にげます,,run away
さわぎます,,make a noise
あからめます,,give up
なげます,,throw
まもります,,"keep, follow, obey"
あげます,,"raise, life up"
さげます,,"lower, pull down"
つたえます,,convey( a message)
ちゅういします,,be careful
はずします,,be away
だめな,,"no good, not permitted, impossible"
せき,,seat 
フャイと,,fight
マーク,,mark
ボール,,ball
せんたくき,洗濯機,washing machine
～き,,~machine
きそく,,"regulation, rule"
しようきんし,,Do not use.
たちいりきんし,,Keep out
いりぐち,,entrance
でぐち,,exit
ひじょうぐち,,emergency exit
むりょう,,free of charge
ほんじつきゅうぎょう,,closed today
えいぎょうちゅう,,open for business
しようちゅう,,in use
～ちゅう,,~ing
どういう～,,what kind of~
もう,,any longer
あと～,,~left
ちゅうしゃいはん,駐車違反,parking violation
そりゃあ,,well
～いない,,within~
けいさつ,警察,police station
ぽっきん,,fine
でんぽう,,telegram
ひとびと,,people
きゅうよう,,urgent business
うちます,,send
でんぽうだい,,telegram charge
できるだけ,,as much as possible
みじかく,,"shortly, briefly"
また,,and
たとえば,,for example
キトク,,in a critical condition
おもいびょうき,,serious illness
あす,,tomorrow
るす,,absence
るすばん,,looking after a house during the owner's absence
おいわい,,celebration
なくなります,,"pass away, die"
かなしみ,,"sorrow, sadness"
りょうします,,use
